Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
113,NCT02494687,Domperidone Expanded Access Program for Oncology Patients With Gastroparesis Who Have Failed Standard Therapy,,Available,No Results Available,Oncology Patients With Gastroparesis,Drug: Oral Domperidone,,Eastern Regional Medical Center,All,"18 Years and older   (Adult, Older Adult)",,null,Other,Expanded Access,,EP2014022,null,null,null,10-Jul-15,null,6-Jul-17,"Eastern Regional Medical Center, Inc., Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT02494687
114,NCT02477891,Early Access Treatment With Daratumumab for (Relapsed or Refractory) Multiple Myeloma,,Available,No Results Available,Multiple Myeloma,Drug: Daratumumab,,"Janssen Research & Development, LLC",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,CR106626|54767414MMY3010,null,null,null,23-Jun-15,null,6-Jun-18,"Mayo Clinic Arizona, Phoenix, Arizona, United States|The University of Arkansas for Medical Sciences Myeloma Institute for Research and Therapy, Little Rock, Arkansas, United States|City of Hope, Duarte, California, United States|Compassionate Cancer Care, Fountain Valley, California, United States|PCRI, Gilroy, California, United States|Marin Cancer Center, Greenbrae, California, United States|SCORA Network, LLC, Los Angeles, California, United States|Institute for Myeloma & Bone Cancer Research, West Hollywood, California, United States|Colorado Blood Cancer Institute, Denver, Colorado, United States|Yale University School Of Medicine, New Haven, Connecticut, United States|Mayo Clinic Cancer Center of Florida, Jacksonville, Florida, United States|Ocala Oncology Center, Ocala, Florida, United States|Florida Cancer Specialists & Research Institute, West Palm Beach, Florida, United States|Winship Cancer Institute Emory University, Atlanta, Georgia, United States|Boise, Idaho, United States|Northwestern University, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|Indiana University School of Medicine Division of Hematology and Oncology, Indianapolis, Indiana, United States|University of Iowa Hospital, Iowa City, Iowa, United States|St. Francis Health, Topeka, Kansas, United States|Norton Cancer Institute, Louisville, Kentucky, United States|New Orleans, Louisiana, United States|Johns Hopkins University School of Medicine (JHUSOM), Baltimore, Maryland, United States|Center for Cancer and Blood Disorders, Bethesda, Maryland, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States|Henry Ford Hospital, Detroit, Michigan, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Clinic Cancer Care, Great Falls, Montana, United States|Nebraska Medical Center (NCI-CC), Omaha, Nebraska, United States|Hunterdon Hematology Oncology, Flemington, New Jersey, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|NYU Langone Medical Center, New York, New York, United States|Mt. Sinai School of Medicine, New York, New York, United States|Weill Cornell Medical College, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Levine Cancer Institute, Charlotte, North Carolina, United States|Samaritan Hematology and Oncology Associates, Corvallis, Oregon, United States|Penn State Milton S. Hershey Medical Ctr., Hershey, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|St. Francis Hospital, Greenville, South Carolina, United States|Baylor University Medical Center, Dallas, Texas, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|University of Texas, MD Anderson Cancer Center, Houston, Texas, United States|Virginia Cancer Specialists, Fairfax, Virginia, United States|Madison, Wisconsin, United States|HC Barretos, Barretos, Brazil|Universidade Federal da Paraíba - UFPB, Joao Pessoa, Brazil|Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil|Instituto Nacional do Cancer - INCA, Rio De Janeiro, Brazil|Federal University of Rio de Janeiro - UFRJ, Rio De Janeiro, Brazil|Instituto D'Or de Pesquisa e Ensino (IDOR), Rio De Janeiro, Brazil|Federal University of Bahia - UFBA, Salvador, Brazil|Hospital Das Clinicas Da Faculdade De Medicina Da Universidade De Sao Paulo, Sao Paulo, Brazil|Ospedali Riuniti Di Ancona, Ancona, Italy|Dipartimento di Medicina Interna e Oncologia Umana-Medicina Interna-G. Baccelli-Policlinico di Bari, Bari, Italy|U.O. Ematologia con Trapianto- AOU Policlinico di Bari, Bari, Italy|Seragnoli Institute, Hematology Department, Bologna, Italy|Azienda Ospedaliera Spedali Civili di Brescia, Brescia, Italy|IRCCS Aor San Martino IST, Genova, Italy|Fondazione IRCCS Istituto Nazionale dei Tumori, Milano, Italy|Division of Hematology, Cardarelli Hospital, Napoli, Italy|Dept.of Medicine, Hematology and Clinical Immunology, Padova, Italy|Policlinico San Matteo, Pavia, Italy|UO Ematologia, Ospedale S. Chiara, Pisa, Italy|IRCCS CROB Referral Cancer center of Basilicata, Rionero In Vulture, Italy|Dipartimento Di Biotecnologie Cellulari Ed Ematologia Università la Sapienza, Roma, Italy|S. C. di Ematologia, Presidio Molinette, Torino, Italy|UO Hematology Azienda Ospedaliera-Universitaria di Udine, Udine, Italy|Kobe City Medical Center General Hospital, Kobe-City, Japan|City Clinical Hospital No.52, Moscow, Russian Federation|Hematological Scientific center of RAS, Moscow, Russian Federation|City clinical hospital n.a. S.P.Botkin, Moscow, Russian Federation|Novosibirsk State Medical University, Novosibirsk, Russian Federation|Federal North-West Medical Research Centre, Saint-Petersburg, Russian Federation|City Hospital No.15, Saint-Petersburg, Russian Federation|Samara State Medical Univeristy, Samara, Russian Federation|Volgograd Regional Clinical Oncologic Dispensary No.1, Volgograd, Russian Federation|Inst. Cat. Doncologia-H Duran I Reynals, Barcelona, Spain|Hosp. Univ. Virgen de Las Nieves, Granada, Spain|Hosp. Univ. de Gran Canaria Dr. Negrin, Las Palmas De Gran Canaria, Spain|Hosp. Univ. de La Princesa, Madrid, Spain|Hosp. Gral. Univ. Gregorio Maranon, Madrid, Spain|Hosp. Univ. Ramon Y Cajal, Madrid, Spain|Hosp. Son Llatzer, Mallorca, Spain|Clinica Univ. de Navarra, Pamplona, Spain|Hosp. Clinico Univ. de Salamanca, Salamanca, Spain|Hosp. Univ. Marques de Valdecilla, Santander, Spain|Hosp. Clinico Univ. de Santiago, Santiago De Compostela, Spain|Hosp. Virgen de La Salud, Toledo, Spain|Hosp. Univ. Dr. Peset, Valencia, Spain|Hosp. Clinico Univ. de Valladolid, Valladolid, Spain|Hosp. Clinico Univ. Lozano Blesa, Zaragoza, Spain|Blackpool Victoria Hospital, Blackpool, United Kingdom|Royal Bournemouth Hospital, Bournemouth, United Kingdom|Ninewells Hospital, Dundee, United Kingdom|Beatson West Of Scotland Cancer Centre, Glasgow, United Kingdom|Maidstone Hospital, Kent, United Kingdom|St. James Hospital, Leeds, United Kingdom|Altnagelvin Hospital, Londonderry, United Kingdom|St Bartholomew's Hospital, London, United Kingdom|University College Hospital, London, United Kingdom|Guy's Hospital, London, United Kingdom|Christie Hospital, Manchester, United Kingdom|Freeman Hospital, Newcastle, United Kingdom|Nottingham University Hospitals, Nottingham, United Kingdom|Royal Stoke University Hospital, Stoke On Trent, United Kingdom|New Cross Hospital, Wolverhampton, United Kingdom",,https://ClinicalTrials.gov/show/NCT02477891
115,NCT02475798,PRESERVE-Zenith® Branch Endovascular Graft-Iliac Bifurcation,,Available,No Results Available,Aortoiliac Aneurysms|Iliac Aneurysms,"Device: Zenith® Branch Endovascular Graft-Iliac Bifurcation,",,Cook Research Incorporated|Cook Group Incorporated,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,05-625 CA-P2,null,null,null,19-Jun-15,null,8-May-18,"Mayo Foundation for Medical Education and Research, Phoenix, Arizona, United States|VA Palo Alto HCS, Palo Alto, California, United States|Stanford University Medical Center, Stanford, California, United States|Christine E. Lynn Heart and Vascular Institute, Boca Raton, Florida, United States|South Florida Medical Imaging, Fort Lauderdale, Florida, United States|University of Florida, Gainesville, Florida, United States|Emory University, Atlanta, Georgia, United States|St. Anthony's Medical Center, Rockford, Illinois, United States|Methodist Hospital of Indiana, Indianapolis, Indiana, United States|University of Kentucky Hospital, Lexington, Kentucky, United States|University of Massachusetts, Worcester, Massachusetts, United States|William Beaumont Hospital, Royal Oak, Michigan, United States|Mayo Clinic, Rochester, Minnesota, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Mercy Hospital East Communities, Saint Louis, Missouri, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|Columbia University Medical Center, New York, New York, United States|Weill Cornell Medical Center, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|UT Southwestern, Dallas, Texas, United States|University of Virginia, Charlottesville, Virginia, United States|Aurora St. Luke's Hospital, Milwaukee, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT02475798
116,NCT02474121,Safety and Efficacy of Autologous Concentrated Bone Marrow Aspirate for Critical Limb Ischemia - Continued Access,MOBILE-CA,Available,No Results Available,Peripheral Arterial Disease|Peripheral Vascular Diseases|Critical Limb Ischemia,Device: Bone marrow concentration device,,Zimmer Biomet,All,"21 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,BB-IDE 13996 (CA),null,null,null,17-Jun-15,null,21-Jun-18,"Central Arkansas Veterans Healthcare System, Little Rock, Arkansas, United States|Piedmont Hospital, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|Tufts Medical Center, Boston, Massachusetts, United States|Holy Name Medical Center, Teaneck, New Jersey, United States|The Mount Sinai Hospital, New York, New York, United States|Weill Cornell Medical College/New York Presbyterian Hospital, New York, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|VA Pittsburgh Healthcare System, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT02474121
117,NCT02473497,Crizotinib (Xalkori) Expanded Access Protocol For The Treatment Of Adult Or Pediatric Patients,,Available,No Results Available,Neoplasm,Drug: Crizotinib,,Pfizer,All,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,A8081056,null,null,null,16-Jun-15,null,1-Feb-18,"Children's Hospital of Philadelphia (Investigational Pharmacy), Philadelphia, Pennsylvania, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT02473497
118,NCT02471781,Zenith® TX2® Low Profile TAA Endovascular Graft,,Approved for marketing,No Results Available,Aortic Aneurysm|Penetrating Ulcer|Vascular Disease,Device: Zenith TX2 Low Profile TAA Endovascular Graft,,Cook Group Incorporated,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,10-001 CA,Apr-13,Jan-16,Jan-21,15-Jun-15,null,7-Mar-17,"University of South Florida, Tampa, Florida, United States|Emory University, Atlanta, Georgia, United States|Methodist Hospital of Indiana, Indianapolis, Indiana, United States|Indiana Heart Hospital, Indianapolis, Indiana, United States|University of Michigan Health System, Ann Arbor, Michigan, United States|Mayo Clinic, Rochester, Minnesota, United States|Barnes-Jewish Hospital, St. Louis, Missouri, United States|Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States|Cooper University Hospital, Camden, New Jersey, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|The Mount Sinai Hospital, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT02471781
119,NCT02464943,Zenith® Dissection Endovascular System in the Treatment of Patients With Aortic Dissections,,Available,No Results Available,Aortic Dissection,Device: Endovascular Treatment (Zenith),,Cook Group Incorporated,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,11-007-CA,null,null,null,8-Jun-15,null,19-Jan-18,"Cooper University Hospital, Camden, New Jersey, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|University of Virginia Medical Center, Charlottesville, Virginia, United States",,https://ClinicalTrials.gov/show/NCT02464943
120,NCT02437019,Early Access Program (EAP) for Ibrutinib in Participants With Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL),,Approved for marketing,No Results Available,B-cell Chronic Lymphocytic Leukemia,Drug: PCI-32765 (Ibrutinib),,Janssen-Cilag Farmaceutica Ltda.,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,CR106344|54179060CLL3005,null,null,null,7-May-15,null,20-Mar-17,"Barretos, Brazil|Florianopolis, Brazil|Fortaleza, Brazil|Porto Alegre, Brazil|Rio De Janeiro, Brazil|Sao Paulo, Brazil|São Paulo, Brazil",,https://ClinicalTrials.gov/show/NCT02437019
121,NCT02436044,HAIC Using Oxaliplatin Plus Fluorouracil/Leucovorin for Patients With Locally Advanced HCC,,Available,No Results Available,"Hepatocellular Carcinoma|Injury; Blood Vessel, Hepatic, Artery",Procedure: HAIC using oxaliplatin plus fluorouracil/leucovorin|Drug: Oxaliplatin|Drug: Fluorouracil|Drug: Leucovorin,,Ming Zhao|Sun Yat-sen University,All,"18 Years to 75 Years   (Adult, Older Adult)",,null,Other,Expanded Access,,2015-FXY-011,Apr-15,May-20,May-20,6-May-15,null,18-Jan-17,"Minimally Invasive Interventional Division, Medical Imaging Center, Sun Yat-sen University Cancer Center,, Guangzhou, Guangdong, China",,https://ClinicalTrials.gov/show/NCT02436044
122,NCT02431715,18F-FDOPA PET in Neuroendocrine Tumours,,Available,No Results Available,"Thyroid Cancer, Medullary|Carcinoid Tumor|Pheochromocytoma|Paraganglioma|Insulinoma|Neuroblastoma",Drug: [18 F]-6-L-fluorodihydroxyphenylalanine (18F-FDOPA),,British Columbia Cancer Agency,All,"1 Month and older   (Child, Adult, Older Adult)",,null,Other,Expanded Access,,H12-01795,Oct-12,Aug-17,Aug-18,1-May-15,null,30-Dec-16,"BC Cancer Agency, Vancouver, British Columbia, Canada",,https://ClinicalTrials.gov/show/NCT02431715
123,NCT02412566,SMOF Lipid for Children With Parenteral Nutrition Induced Liver Injury,SMOF,Available,No Results Available,Cholestasis|Growth Failure,Drug: SMOFlipid,,Baylor College of Medicine,All,up to 1 Year   (Child),,null,Other,Expanded Access,,H-34444,null,null,null,9-Apr-15,null,14-Feb-18,"Baylor College of Medicine / Texas Children's Hospital, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT02412566
124,NCT02411604,Expanded Access Study for Renal Transplant Patients With Envarsus XR ™,,Approved for marketing,No Results Available,Renal Failure,Drug: Tacrolimus,,Veloxis Pharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,Envarsus® 3007,null,null,null,8-Apr-15,null,20-Jan-16,,,https://ClinicalTrials.gov/show/NCT02411604
125,NCT02397863,Epidiolex and Drug Resistant Epilepsy in Children,CBD,Available,No Results Available,Epilepsy,Drug: Cannabidiol (Epidiolex),,Augusta University|State of Georgia,All,"1 Year to 18 Years   (Child, Adult)",,null,Other,Expanded Access,,CBD02,Dec-14,Dec-19,Jan-20,25-Mar-15,null,24-Apr-15,"Georgia Regents University, Augusta, Georgia, United States",,https://ClinicalTrials.gov/show/NCT02397863
