PharmGKB Accession Id	Name	Generic Names	Trade Names	Brand Mixtures	Type	Cross-references	SMILES	Dosing Guideline	External Vocabulary
PA448047	adapalene	"Adapaleno [INN-Spanish]","Adapalenum [INN-Latin]"	"Adaferin","Differin"		Drug/Small Molecule	"ChEBI:31174","ChemSpider:54244","DrugBank:DB00210","Drugs Product Database (DPD):2231592","FDA Drug Label at DailyMed:ad56e40f-d63d-428f-a58c-8ae733b63c7f","KEGG Drug:D01112","National Drug Code Directory:0299-5910-45","PubChem Compound:60164","PubChem Substance:46505019","Therapeutic Targets Database:DAP000115","Web Resource:http://en.wikipedia.org/wiki/Adapalene"		No	"ATC:D10AD(Retinoids for topical use in acne)","MeSH:C063610(adapalene)","NDFRT:N0000148452(ADAPALENE)","RxNorm:60223(adapalene)","UMLS:C0165631(adapalene)"
PA10005	adefovir dipivoxil	"Adefovir pivoxil","Adefovirdipivoxl","Adefovir","ADV","adefovir dipivoxil","bis-POM PMEA","GS-840","PMEA"	"Preveon","Hepsera"		Drug/Small Molecule	"BindingDB:50038612","ChemSpider:54855","DrugBank:DB00718","FDA Drug Label at DailyMed:a60adac4-57c2-4089-aefc-1a77a48676fc","KEGG Drug:D01655","National Drug Code Directory:61958-0501-1","PubChem Compound:60871","PubChem Substance:46507520","PubChem Substance:7848718","Therapeutic Targets Database:DNC001135","Web Resource:http://en.wikipedia.org/wiki/Adefovir"		No	"ATC:J05AF(Nucleoside and nucleotide reverse transcriptase inhibitors)","MeSH:C106812(adefovir dipivoxil)","NDFRT:N0000148776(ADEFOVIR DIPIVOXIL)","RxNorm:141400(adefovir dipivoxil)","UMLS:C0540694(adefovir dipivoxil)"
PA448048	adenine	"1H-Purin-6-amine","6-Aminopurine","Adenin","Adeninimine","Vitamin B4"	"Pedatisectine B","Leuco-4"		Drug/Small Molecule	"BindingDB:33218","ChEBI:16708","ChemSpider:185","DrugBank:DB00173","HET:ADE","KEGG Compound:C00147","KEGG Drug:D00034","PDB:ADE","PubChem Compound:190","PubChem Substance:3447","PubChem Substance:46507319","Therapeutic Targets Database:DAP000982","Web Resource:http://en.wikipedia.org/wiki/Adenine"	c1[nH]c2c(n1)c(ncn2)N	No	"NDFRT:N0000147177(ADENINE)","RxNorm:290(Adenine)","UMLS:C0001407(Adenine)"
PA448049	adenosine	"adenosine","MEDR-640","Adenine Deoxy Nucleoside","Adenine Riboside","Adenyldeoxyriboside","Desoxyadenosine","Adenine Deoxyribonucleoside","Adenine Deoxyribose","2'-Deoxyadenosine","Deoxyadenosine","USAF CB-10","Adenine Nucleoside"	"Adensoine","Adenoscan","Adenosin","Pallacor","Adenocor","Sandesin","Adenocard","Boniton","Myocol","Nucleocardyl"		Drug/Small Molecule	"ChEBI:16335","ChemSpider:54923","DrugBank:DB00640","Drugs Product Database (DPD):2243435","FDA Drug Label at DailyMed:19977c31-02d3-40fa-bcad-9c3c88768e11","HET:101","KEGG Compound:C00212","KEGG Drug:D00045","National Drug Code Directory:0703-8771-03","PDB:101","PubChem Compound:60961","PubChem Substance:3512","PubChem Substance:46508728","Therapeutic Targets Database:DAP000223","Web Resource:http://en.wikipedia.org/wiki/Adenosine"		No	"ATC:C01EB(Other cardiac preparations)","NDFRT:N0000147627(ADENOSINE)","RxNorm:296(Adenosine)","UMLS:C0001443(Adenosine)"
PA164744376	adenosine monophosphate	"5'-AMP","AMP","Adenylate","Adenosine phosphate","Adenosine-5-monophosphoric acid","Adenosine-5'-monophosphoric acid","Adenosine-5'-Monophosphate","Adenosine 5'-(dihydrogen phosphate)","5'-Adenosine monophosphate","Adenylic acid","5'-Adenylic acid","Adenosine 5'-monophosphate","Adenosine 5'-phosphate","Adenosine 5'-phosphoric acid","Phosphentaside"	"Adenovite","Lycedan","Phosphaden","Cardiomone","Phosaden","My-B-Den"		Drug/Small Molecule	"BindingDB:18137","ChEBI:16027","ChemSpider:5858","DrugBank:DB00131","IUPHAR Ligand:2455","KEGG Compound:C00020","KEGG Drug:D02769","PubChem Compound:6083","PubChem Substance:3322","PubChem Substance:46507628","Therapeutic Targets Database:DAP001319","Web Resource:http://en.wikipedia.org/wiki/Adenosine_monophosphate"		No	"MeSH:C015664(8-aminoadenosine 5'-monophosphate)","MeSH:C021683(formycin 5'-phosphate)","MeSH:C037185(5'-deoxy-5'-thioadenosine 5'-monophosphate)","NDFRT:N0000170817(Adenosine Monophosphate [Chemical/Ingredient])","RxNorm:309(Adenosine Monophosphate)","UMLS:C0001465(Adenosine Monophosphate)"
PA164743471	adenosine triphosphate	"Adenylpyrophosphoric acid","Adenosine-5'-triphosphate","Triphosphoric acid adenosine ester","Adenosine 5'-triphosphate",""Adenosine, 5'-(tetrahydrogen triphosphate)"","5'-ATP","ATP","Adenosine 5'-triphosphoric acid"	"Triphosphaden","Adephos","Striadyne","Atipi","Atriphos","Fosfobion","Myotriphos","Adynol","Glucobasin","Adetol","Triadenyl","Cardenosine","Phosphobion"		Drug/Small Molecule	"BindingDB:2","ChEBI:15422","ChemSpider:5742","DrugBank:DB00171","HET:ATP","IUPHAR Ligand:1713","KEGG Compound:C00002","PDB:ATP","PubChem Compound:5957","PubChem Substance:3304","PubChem Substance:46507614","Therapeutic Targets Database:DNC000262","Web Resource:http://en.wikipedia.org/wiki/Adenosine_triphosphate"		No	"MeSH:C000101(ara-ATP)","NDFRT:N0000180300(ADENOSINE TRIPHOSPHATE)","RxNorm:318(Adenosine Triphosphate)","UMLS:C0001480(Adenosine Triphosphate)"
PA164783813	adinazolam	"Adinazolamum [INN-Latin]"	"Deracyn"		Drug/Small Molecule	"ChEBI:251412","ChemSpider:34519","DrugBank:DB00546","KEGG Drug:D02770","PubChem Compound:37632","PubChem Substance:178987","PubChem Substance:46509054","Therapeutic Targets Database:DAP001251","Web Resource:http://en.wikipedia.org/wiki/Adinazolam"	CN(C)Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl	No	"ATC:N05BA(Benzodiazepine derivatives)","MeSH:C039668(adinazolam)"
PA164712316	Adrenergic and dopaminergic agents				Drug Class	null		No	"ATC:C01CA(Adrenergic and dopaminergic agents)"
PA164712318	Adrenergics and other drugs for obstructive airway diseases				Drug Class	null		No	"ATC:R03AK(Adrenergics and other drugs for obstructive airway diseases)","ATC:R03CK(Adrenergics and other drugs for obstructive airway diseases)"
PA164712317	Adrenergics For Systemic Use				Drug Class	null		No	"ATC:R03C(Adrenergics For Systemic Use)"
PA10405	adrenergics, inhalants				Drug Class	null		No	""ATC:R03A(Adrenergics, Inhalants)""
PA165981154	afatinib	"BIBW 2992"	"Giotrif","Tovok","Tomtovok"		Drug/Small Molecule	"ClinicalTrials.gov:NCT01156545","PubChem Compound:10184653"		No	"ATC:L01XE(Protein kinase inhibitors)"
PA165981139	afatinib dimaleate	"afatinib maleate (jan)","d09733"			Drug/Small Molecule	"PubChem Substance:124490473"		No	null
PA452609	aflatoxin b1				Drug/Small Molecule	null		No	"NDFRT:N0000171418(Aflatoxin B1 [Chemical/Ingredient])","UMLS:C0085180(Aflatoxin B1 [Chemical/Ingredient])"
PA166118342	aflibercept				Drug/Small Molecule	"PubChem Substance:135347926"		No	null
PA166122586	afutuzumab	"obinutuzumab"	"GAZYVA"		Drug/Small Molecule	"PubChem Substance:160682610"		No	null
PA164746527	agalsidase beta	"Alpha-D- galactoside galactohydrolase","Melibiase","Agalsidase alfa","Alpha-D-galactosidase A","Alpha-galactosidase A precursor","agalsidase beta"	"Replagal","Fabrazyme"		Drug/Small Molecule	"DrugBank:DB00103","Drugs Product Database (DPD):2248966","FDA Drug Label at DailyMed:988513ab-b06f-4dd0-93f7-d2d4531dcce4","GenBank:X14448","National Drug Code Directory:58468-0040-1","UniProtKB:P06280","Web Resource:http://en.wikipedia.org/wiki/Agalsidase_beta"		No	"ATC:A16AB(Enzymes)","NDFRT:N0000148806(AGALSIDASE BETA)","RxNorm:338817(agalsidase beta)","UMLS:C1137427(agalsidase beta)"
PA164712320	Agents Acting On The Renin-angiotensin System	"RAAS acting drugs"			Drug Class	null		No	"ATC:C09(Agents Acting On The Renin-angiotensin System)"
PA164712321	Agents Against Amoebiasis And Other Protozoal Diseases				Drug Class	null		No	"ATC:P01A(Agents Against Amoebiasis And Other Protozoal Diseases)"
PA164712322	Agents Against Leishmaniasis And Trypanosomiasis				Drug Class	null		No	"ATC:P01C(Agents Against Leishmaniasis And Trypanosomiasis)"
PA164712323	Agents For Treatment Of Hemorrhoids And				Drug Class	null		No	"ATC:C05A(Agents For Treatment Of Hemorrhoids And)"
PA165958363	agomelatine	"s-20098","s20098"	"Valdoxan","Melitor"		Drug/Small Molecule	"BindingDB:50035179","ChemSpider:74141","DrugBank:DB06594","KEGG Drug:D02578","PubChem Compound:82148"		No	"ATC:N06AX(Other antidepressants)"
PA164776839	ajmaline	"Ajmalin"			Drug/Small Molecule	"ChEBI:28462","DrugBank:DB01426","KEGG Compound:C06542","KEGG Drug:D00199","PubChem Compound:441080","PubChem Substance:7847267","Web Resource:http://en.wikipedia.org/wiki/Ajmaline"		No	""ATC:C01BA(Antiarrhythmics, class Ia)"","NDFRT:N0000166953(Ajmaline [Chemical/Ingredient])","RxNorm:423(Ajmaline)","UMLS:C0001888(Ajmaline)"
PA164746058	albendazole		"Albenza","Eskazole","Valbazen","Zentel"		Drug/Small Molecule	"BindingDB:50241293","ChEBI:16664","ChemSpider:1998","DrugBank:DB00518","Drugs Product Database (DPD):1904779","FDA Drug Label at DailyMed:24c6007b-ac07-4086-c3ad-9ca8ec6c48a8","HET:ALW","KEGG Compound:C01779","KEGG Drug:D00134","National Drug Code Directory:0007-5500-40","PDB:ALW","PubChem Compound:2082","PubChem Substance:46506472","PubChem Substance:4909","Therapeutic Targets Database:DAP000951","Web Resource:http://en.wikipedia.org/wiki/Albendazole"	CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC	No	"ATC:P02CA(Benzimidazole derivatives)","NDFRT:N0000148464(ALBENDAZOLE)","RxNorm:430(Albendazole)","UMLS:C0001911(Albendazole)"
PA165958399	alcaftadine		"Lastacaft"		Drug/Small Molecule	"ChemSpider:14201635","DrugBank:DB06766","KEGG Drug:D06552","National Drug Code Directory:68669-412-03","PubChem Compound:19371515","PubChem Substance:99443288"		No	"NDFRT:N0000181719(ALCAFTADINE)","RxNorm:1000082(alcaftadine)","UMLS:C2348241(alcaftadine)"
PA164747650	alclometasone	"Alclometasone dipropionate"	"Aclovate"		Drug/Small Molecule	"ChEBI:53776","DrugBank:DB00240","FDA Drug Label at DailyMed:63e635e0-65d8-4b30-9f2a-ab16deba90bd","KEGG Drug:D01820","National Drug Code Directory:68462-300-17","PubChem Compound:636374","PubChem Substance:7848882","Therapeutic Targets Database:DAP000415","Web Resource:http://en.wikipedia.org/wiki/Alclometasone"	C[C@@H]1C[C@H]2[C@@H]3[C@@H](CC4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)C)Cl	No	""ATC:D07AB(Corticosteroids, moderately potent (group II))"",""ATC:S01BA(Corticosteroids, plain)"","MeSH:C021137(alclometasone dipropionate)","NDFRT:N0000147692(ALCLOMETASONE)","RxNorm:108088(Alclometasone)","UMLS:C0360534(Alclometasone)"
PA164712324	Aldehydes and derivatives				Drug Class	null		No	"ATC:N05CC(Aldehydes and derivatives)"
PA448081	aldesleukin	"Interleukin-2 precursor","aldesleukin","TCGF","IL-2","T-cell growth factor"	"Proleukin"		Drug/Small Molecule	"DrugBank:DB00041","Drugs Product Database (DPD):2130181","FDA Drug Label at DailyMed:a588140c-f9ed-4a9b-a9a6-bf3daafd8a5a","GenBank:M11144","National Drug Code Directory:0078-0495-61","Therapeutic Targets Database:DAP001099","UniProtKB:P60569","Web Resource:http://en.wikipedia.org/wiki/Aldesleukin"		No	"ATC:L03AC(Interleukins)","NDFRT:N0000148066(ALDESLEUKIN)","RxNorm:70223(Aldesleukin)","UMLS:C0218986(Aldesleukin)"
PA164712325	Aldose reductase inhibitors				Drug Class	null		No	"ATC:A10XA(Aldose reductase inhibitors)"
