	0	1	Indication	ICD9	ICD10
201	D0Q0RC	Ethopropazine; Aethopropropazin; Athapropazine; Athopropazin; Ethapropazine; Ethopromazine; Etopropezina; Fempropazine; Fenpropazina; Isopthazine; Isotazin; Isothazine; Isothiazine; Lysivane; Parcidol; Pardidol; Parfezine; Parkin; Parkisol; Parsidan; Parsidol; Parsitan; Parsotil; Phenopropazine; Phenoprozine; Prodictazin; Prodierazine; Profenamina; Profenamine; Profenaminum; Prophenamine; Prophenaminum; Rochipel; Rocipel; Rodipal; Profenamina [Italian]; RP 3356; SC 2538; SKF 2538; W 483; Parkin (TN); Parsidan (TN); Parsidol(TN); Profenamina [INN-Spanish]; Profenamine (INN); Profenamine [INN:BAN]; Profenaminum [INN-Latin]; N,N-Diethyl-alpha-methyl-10H-phenothiazine-10-ethanamine; N,N-diethyl-1-phenothiazin-10-ylpropan-2-amine; N,N-Diethyl-1-(10H-phenothiazin-10-yl)-2-propanamine; N,N-diethyl-1-(10H-phenothiazin-10-yl)propan-2-amine; 10-(2-Diethylaminopropyl)phenothiazine; 10-[2-(Diethylamino)-1-Propyl]phenothiazine;10-[2-(Diethylamino)-2-methylethyl]phenothiazine; 10-[2-(Diethylamino)propyl]phenothiazine; 2-Diethylamino-1-propyl-N-dibenzoparathiazine	Parkinson's disease	332	G20
202	D0Q4XQ	Ethosuximide; Aethosuccimidum; Aethosuximide; Asamid; Atysmal; Capitus; Emeside; Ethosuccimid; Ethosuccimide; Ethosuccinimide; Ethosuxide; Ethosuximidum; Ethylmethylsuccimide; Ethymal; Etomal; Etosuccimide; Etosuximid; Etosuximida; Etosuximide; Mesentol; Pemal; Pemalin; Pentinimid; Peptinimid; Petinimid; Petnidan; Piknolepsin; Pyknolepsinum; Ronton; Simatin; Succimal; Succimitin; Suksilep; Suxilep; Suximal; Suxin; Suxinutin; Thetamid; Thilopemal; Zaraondan; Zarodan; Zarondan; Zarontin; Zartalin; Aethosuximide [German]; Desitin Brand of Ethosuximide; Epileo Petit MAL; Etosuccimide [DCIT]; Etosuximida Faes; Faes Brand of Ethosuximide; Fortbenton Brand of Ethosuximide; Jenapharm Brand of Ethosuximide; Katwijk Brand of Ethosuximide; LAB Brand of Ethosuximide; Parke Davis Brand of Ethosuximide; Pfizer Brand of Ethosuximide; United Drug Brand of Ethosuximide; Warner Lambert Brand of Ethosuximide; Wernigerode Brand of Ethosuximide; Cl 366; E 7138; E0746; H 940; PM 671; CN-10395; Ethosuximidum [INN-Latin]; Etosuximida [INN-Spanish]; Faes, Etosuximida; H-490; N-Ethyl methylsuccinimide; PM-671; Simatin(E); Warner-Lambert Brand of Ethosuximide; Zarondan-Saft; Zarontin (TN); C.I. 366; CN-10,395; Piknole.psi.n; Pyknole.psi.num; Alpha-Ethyl-alpha-methylsuccinimide; Alpha-Methyl-alpha-ethylsuccinimide; Ethosuximide (JP15/USP/INN); Ethosuximide [USAN:INN:BAN:JAN]; Gamma-Methyl-gamma-ethylsuccinimide; Gamma-Methyl-gamma-ethyl-succinimide; Gamma-ethyl-gamma-methyl-succinimide; (+-)-2-Ethyl-2-methylsuccinimide; 2-Ethyl-2-methylsuccinimide; 2-Methyl-2-ethylsuccinimide; 3-Ethyl-3-methyl-2, 5-pyrrolidinedion; 3-Ethyl-3-methyl-2,5-pyrrolidinedione; 3-Ethyl-3-methylpyrrolidine-2,5-dione; 3-Ethyl-3-methylpyrroline-2,5-dione; 3-Ethyl-3-methylsuccinimide; 3-Methyl-3-ethylpyrrolidine-2,5-dione; 3-Methyl-3-ethylsuccinimide	Epilepsy		G40
203	D0O3AB	Butethal; Aethylbutylbarbitursaeure; Budorm; Butabarbitol; Butobarbital; Butobarbitalum; Butobarbitone; Butobarbitural; Etoval; Hyperbutal; Longanoct; Meonal; Monodorm; Neonal; Sonerile; Soneryl; Butobarbital [BAN]; Butobarbital (BAN); Neonal (TN); Butyl,5-ethylbarbituric acid; 2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-butyl-5-ethyl-(9CI); 5-BUTYL-5-ETHYLBARBITURIC ACID; 5-Butyl-5-ethyl-2,4,6(1H,3H,5H)-pyrimidinetrione; 5-Ethyl-5-butylbarbituric acid; 5-Ethyl-5-n-butylbarbituric acid; 5-butyl-5-ethyl-1,3-diazinane-2,4,6-trione	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
204	D05UFG	BIBW 2992; Afatinib; Tomtovok; Tovok; BIBW-2992; Tovok (TN); Tovok, BIBW2992; (2E)-N-{4-[(3-chloro-4-fluorophenyl)amino]-7-[(3S)-tetrahydrofuran-3-yloxy]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide; EGFR inhibitor 2nd gens	Non-small cell lung cancer		C33-C34
205	D0K3QS	Everolimus; Afinitor; Certican; Zortress; Everolimus [USAN]; RAD 001; RAD001; Afinitor (TN); CERTICAN(R); Certican (TN); RAD-001; RAD-001C; SDZ-RAD; NVP-RAD-001; Everolimus (JAN/USAN/INN); RAD001, SDZ-RAD, Certican, Zortress, Afinitor, Everolimus; (3S,6R,7E,9R,10R,12R,14S,15E,17E,19E,21S,23S,26R,27R,34as)-9,10,12,13,14,21,22,23,24,25,26,27,32,33,34,34a-hexadecahydro-9,27-dihydroxy-3-((1R)-2-((1S,3R,4R)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl)-1-methylethyl)-10,21-dimethoxy-6,8,12,14,20,26-hexamethy; 40-O-(2-hydroxyethyl)-rapamycin; 42-O-(2-Hydroxyethyl)rapamycin; MTOR kinase inhibitors	Advanced kidney cancer	189	C64
206	D0K3QS	Everolimus; Afinitor; Certican; Zortress; Everolimus [USAN]; RAD 001; RAD001; Afinitor (TN); CERTICAN(R); Certican (TN); RAD-001; RAD-001C; SDZ-RAD; NVP-RAD-001; Everolimus (JAN/USAN/INN); RAD001, SDZ-RAD, Certican, Zortress, Afinitor, Everolimus; (3S,6R,7E,9R,10R,12R,14S,15E,17E,19E,21S,23S,26R,27R,34as)-9,10,12,13,14,21,22,23,24,25,26,27,32,33,34,34a-hexadecahydro-9,27-dihydroxy-3-((1R)-2-((1S,3R,4R)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl)-1-methylethyl)-10,21-dimethoxy-6,8,12,14,20,26-hexamethy; 40-O-(2-hydroxyethyl)-rapamycin; 42-O-(2-Hydroxyethyl)rapamycin; MTOR kinase inhibitors	Renal cancer	140-229, 189	C64
207	D03DDR	Quinine; Aflukin; Chinin; Chinine; Chininum; Conchinin; Conquinine; Quindan; Quinidex; Quinidine; Quinimax; Quinina; Quinineanhydrous; Quinora; Quniacridine; Chinin [German]; Kinder Quinina; QUININE MONO HCL; Quinine Dab; Quinine [BAN]; Quinine anhydrous; Quinine bisulfate; Quinine sulfate; Quinine sulphate; Quinoline alkaloid; LT00645788;Q0028; SB01652; Beta-Quinine; Cin-Quin; Coco-Quinine; IBS-L0034250; Kinder Quinina (TN); Legatrin (TN); Quinine (BAN); Quinine, Anhydrous; Quinine, polymers; Quinine, tannate; Biquinate (*Bisulfate heptathydrate*); Dentojel (*Bisulfate heptathydrate*); Quinamm (*2:1 Sulfate salt*), dihydrate; Quine (*2:1 Sulfate salt*, dihydrate); Quinsan (*2:1 Sulfate salt*), dihydrate; Alpha-(6-Methoxy-4-quinoyl)-5-vinyl-2-quinclidinemethanol; Cinchonan-9-ol, 6'-methoxy-, (8.alpha.,9R)-, sulfate; (+)-Quinidine; (-)-Quinine; (1R)-(6-Methoxyquinolin-4-yl)((1S,4S,5R)-5-vinylquinuclidin-2-yl)methanol; (3A,8A,9r)-6'-methoxycinchonan-9-ol; (5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol; (8-alpha,9R)-6'-Methoxycinchonan-9-ol; (8.alpha.,9R)-6'-Methoxycinchonan-9-ol; (8S,9R)-6'-Methoxycinchonan-9-ol; (8S,9R)-Quinine; (9R)-6'-methoxy-8alpha-cinchonan-9-ol; (R)-(-)-Quinine, 6-methoxycinchonidine; (R)-(-)-quinine; (R)-(6-Methoxy-quinolin-4-yl)-((2S,5S)-5-vinyl-1-aza-bicyclo[2.2.2]oct-2-yl)-methanol; (R)-(6-methoxyquinolin-4-yl)((2S,4S,8R)-8-vinylquinuclidin-2-yl)methanol; (R)-[(2S,4R,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol; (R)-[(2S,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol; (R)-[(2S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol; (S)-(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol; (S)-[(2R,4R,5S)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol; 6'-Methoxycinchonan-9-ol; 6'-Methoxycinchonidine; 6'-Methoxycinchonine; 6-Methoxycinchonine	Malaria		B54
208	D02NTO	Tolnaftate; Aftate; Breezee; Chinofungin; Dermoxin; Dungistop; Focusan; Fungistop; Genaspor; Micoisdin; Phytoderm; Pitrex; Separin; Sorgoa; Sporiline; Timoped; Tinactin; Tinaderm; Tinatox; Tinavet; Ting; Tniaderm; Tolnaftato; Tolnaftatum; Tolnaphthate; Tolsanil; Tonoftal; Tritin; ZeaSorb; Aftate for jock itch aerosol spray powder; Aftate for jock itch gel; Aftate for jock itch sprinkle powder; Bioglan Brand of Tolnaftate; Carter Wallace Brand of Tolnaftate; Chinosol Brand of Tolnaftate; Douglas Brand of Tolnaftate; Essex Brand of Tolnaftate; Genaspore cream; Insight Brand of Tolnaftate; Isdin Brand of Tolnaftate; Naphthiomate T; Ony Clear; Pitrex cream; Schering Brand of Tolnaftate; Stiefel Brand of Tolnaftate; Thompson Brand of Tolnaftate; Tinactin aerosol liquid; Tinactin aerosol powder; Tinactin antifungal deodorant powder aerosol; Tinactin cream; Tinactin jock itch aerosol powder; Tinactin jock itch cream;Tinactin jock itch spray powder; Tinactin plus aerosol powder; Tinactin plus powder; Tinactin powder; Tinactin solution; Ting Products; Ting antifungal cream; Ting antifungal powder; Ting antifungal spray liquid; Ting antifungal spray powder; Tolnaftat Purder N; Tolnaftate Douglas Brand; Tolnaftate Schering Brand; Tolnaftato [DCIT]; Wernigerode Brand of Tolnaftate; Zenith Brand of Tolnaftate; NP 27; NP27; Pedinol Brand 1 of Tolnaftate; Pedinol Brand 2 of Tolnaftate; Sch 10144; Absorbine (TN); Aftate (TN); Aftate for athlete's foot aerosol spray liquid; Aftate for athlete's foot aerosol spray powder; Aftate for athlete's foot gel; Aftate for athlete's foot sprinkle powder; Genaspor (TN); HI-Alazin; Hi-alarzin; Lamasil AF (TN); NP 27 (TN); NP-27 Cream; NP-27 Powder; NP-27 Solution; NP-27 Spray Powder; Naphthiomate-T; Odor Eaters (TN); Ony-Clear; Purder N, Tolnaftat; Schering-Plough Brand 1 of Tolnaftate; Schering-Plough Brand 2 of Tolnaftate; Scholl (TN); Separin (TN); Tinactin (TN); Tinavet (Veterinary); Ting (TN); Tolnaftate(USAN); Tolnaftato [INN-Spanish]; Tolnaftatum [INN-Latin]; Zeasorb-AF powder; Tolnaftate (JP14/USP); Tolnaftate (JP15/USP); Dr. Scholl's athlete's foot spray; Tolnaftate (JP15/USP/INN); Tolnaftate [USAN:BAN:INN:JAN]; Tolnaftate [USAN:INN:BAN:JAN]; M,N-Dimethylthiocarbanilic acid O-2-naphthyl ester; Methyl (3-methylphenyl)carbamothioic acid O-2-naphthalenyl ester; O-2-Naphthyl N,N-dimethylthiocarbanilate; O-2-Naphthyl m,N-dimethylthiocarbanilate; Methyl-(3-methylphenyl)carbamothioic acid O-2-naphthyl ester; Methyl-[3-methylphenyl]-carbamothioic acid O-2-naphthyl ester; O-(2-Naphthyl) methyl(3-methylphenyl)thiocarbamate; O-naphthalen-2-yl methyl(3-methylphenyl)carbamothioate; Carbamothioic acid, methyl(3-methylphenyl)-, O-2-naphthalenyl ester; Carbanilic acid, N,m-dimethylthio-, O-2-naphthyl ester; Carbanilic acid, m,N-dimethylthio-, O-2-naphthyl ester; N-Methyl-(3-methylphenyl)-carbamothioic acid, O-2-naphthalenyl ester; O-naphthalen-2-yl N-methyl-N-(3-methylphenyl)carbamothioate; Carbamothioic acid, N-methyl-N-(3-methylphenyl)-, O-2-naphthalenyl ester; 2-Naphthyl N-methyl-N-(3-tolyl)thionocarbamate	Jock itch; Athlete's foot	110.3, 110.4	B35.3, B35.6
209	D09LNI	Fluconazole; Afungil; Alflucoz; Baten; Beagyne; Biocanol; Biozolene; Canzol; Cryptal; Diflazon; Diflucan; Dimycon; Elazor; FCZ; FLCZ; Flucazol; FlucoLich; Flucobeta; Fluconazol; Fluconazolum; Flucostat; Flukezol; Flunazul; Flunizol; Fluzone; Forcan; Fuconal; Fungata; Lavisa; Loitin; Mutum; Neofomiral; Oxifugol; Oxifungol; Pritenzol; Solacap; Syscan; TPF; Triflucan; Zemyc; Zoltec; Zonal; AbZ Brand of Fluconazole; Aliud Brand of Fluconazole; Alpharma Brand of Fluconazole; Apo Fluconazole; Apotex Brand of Fluconazole; Armstrong Brand of Fluconazole; Betapharm Brand of Fluconazole; Chemia Brand of Fluconazole; Ct Arzneimittel Brand of Fluconazole; Effik Brand of Fluconazole; Fluc Hexal; Fluconazol AL; Fluconazol AbZ; Fluconazol Isis; Fluconazol Stada; Fluconazol [Spanish]; Fluconazol ratiopharm; Fluconazol von ct; Fluconazolum [Latin]; Hexal Brand of Fluconazole; Lesvi Brand of Fluconazole; Lichtenstein Brand of Fluconazole; Mack Brand of Fluconazole; Pfizer Brand of Fluconazole; Pfleger Brand of Fluconazole; Ratiopharm Brand of Fluconazole; SAT Brand of Fluconazole; Silanes Brand of Fluconazole; Stada Brand of Fluconazole; Vita Brand of Fluconazole; F0677; Fluconazole in combination with MGCD290; UK 49858; UK49858; Alfumet (TN); Apo-Fluconazole; Ct-Arzneimittel Brand of Fluconazole; DIFLUCAN IN DEXTROSE 5% IN PLASTIC CONTAINER; DRG-0005; Diflucan (TN); Fluconazol-Isis; Fluconazol-ratiopharm; Fluconazole & Bovine Lactoferrin; Fluconazole & Human recombinant granulocyte colony stimulating factor; Fluconazole & hGCSF; Fluconazole in dextrose 5% in plastic container; Flucytosine & Nyotran; GL663142 & Fluconazole; KS-1059; Trican (TN); UK-49858; DIFLUCAN IN SODIUM CHLORIDE 0.9%; DIFLUCAN IN SODIUM CHLORIDE 0.9%IN PLASTIC CONTAINER; Fluconazole in sodium chloride 0.9%; Fluconazole in sodium chloride 0.9% in plastic container; Flucytosine & Nyotran(Liposomal Nystatin); XMP.284 & Fluconazole; XMP.366 & Fluconazole; XMP.391 & Fluconazole; Diflucan, Trican, Alfumet, Fluconazole; Fluconazole & MC-510,011; Fluconazole (JAN/USAN/INN); Fluconazole [USAN:INN:BAN:JAN]; 2,4-Difluoro-alpha,alpha-bis(1H-1,2,4-triazol-1-ylmethyl)benzyl alcohol; 2,4-difluoro-,1-bis(1H-1,2,4-triazol-1-ylmethyl)benzyl alcohol; 2-(2,4-DIFLUOROPHENYL)-1,3-DI(1H-1,2,4-TRIAZOL-1-YL)PROPAN-2-OL; 2-(2,4-Difluoro-phenyl)-1,3-bis-[1,2,4]triazol-1-yl-propan-2-ol; 2-(2,4-Difluorophenyl)-1,3-bis(1H-1,2,4-triazol-1-yl)-2-propanol; 2-(2,4-Difluorophenyl)-1,3-bis(1H-1,2,4-triazol-1-yl)propan-2-ol; 2-(2,4-Difluorophenyl)-1,3-di-1H-1,2,4-triazol-1-ylpropan-2-ol; 2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)propan-2-ol; FLC	Fungal infections	110-118	B35-B49
210	D01ZRI	Axitinib; AG 013736; AG013736; AG-013736; AG-13736; AG-013736, Axitinib; N-methyl-2-[[3-[(E)-2-pyridin-2-ylethenyl]-1H-indazol-6-yl]sulfanyl]benzamide; N-methyl-2-((3-((1E)-2-(pyridin-2-yl)ethenyl)-1H-indazol-6-yl)sulfanyl)benzamide; Axitinib (VEGFR inhibitor)	Advanced renal cell carcinoma	189	C64
211	D09ZQN	Dienestrol; Agaldog; Cycladiene; Dehydrostilbestrol; Dehydrostilboestrol; Dienesterol; Dienestrolo; Dienestrolum; Dienoestrol; Dienol; Dinestrol; Dinovex; Estragard; Estraguard; Estrodienol; Estroral; Follidiene; Follormon; Gynefollin; Hormofemin; Isodienestrol; Oestrasid; Oestrodiene; Oestrodienol; Oestroral; Oestrovis; Restrol; Retalon; Sexadien; Synestrol; Teserene; Willnestrol; Dienestrolo [DCIT]; Dienoestrol [Nonsteroidal oestrogens]; Dienoestrol bp; Alpha-Dienestrol; DV (TN); Dienestrolum [INN-Latin]; Para-Dien; Restrol, Dienestrol; Dienestrol (E,E); Dienestrol (USP/INN); Dienestrol, (E,E)-Isomer; P,p'-(Diethylideneethylene)diphenol; Para,para'-(Diethylideneethylene)diphenol; Di(p-oxyphenyl)-2,4-hexadiene; Di(para-oxyphenyl)-2,4-hexadiene; Phenol, 4,4'-(1,2-diethylidene-1,2-ethanediyl)bis-, (E,E-(9CI); (E,E)-Dienestrol; 3,4-Bis(4-hydroxyphenyl)-2,4-hexadiene; 3,4-Bis(p-hydroxyphenyl)-2,4-hexadiene; 3,4-Bis(para-hydroxyphenyl)-2,4-hexadiene; 4,4'-(1,2-Diethylidene-1,2-ethanediyl)bisphenol; 4,4'-(2E,4E)-hexa-2,4-diene-3,4-diyldiphenol; 4,4'-(Diethylideneethylene)diphenol; 4,4'-Dihydroxy-gamma,delta-diphenyl-beta,delta-hexadiene; 4,4'-Hydroxy-gamma,delta-diphenyl-beta,delta-hexadiene; 4,4'-hexa-2,4-diene-3,4-diyldiphenol; 4-[(2E,4E)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol	Atrophic vaginitis	627.3	N95.2
212	D09QEI	Pentoxifylline; Agapurin; Azupentat; Dimethyloxohexylxanthine; Durapental; Hemovas; Ikomio; Oxpentifylline; PENTOXYPHYLINE;PNX; Pentoxifilina; Pentoxifyllin; Pentoxifyllinum; Pentoxil; Pentoxiphyllin; Pentoxiphylline; Pentoxiphyllium; Pentoxyfylline; Pentoxyphyllin; Pentoxyphylline; Ralofect; Rentylin; Torental; Trental;Vasofirin; Vazofirin; Agapurin Retard; BL 191; BL191; EHT 0201; EHT0201; IN1161; P 1784; Artal (TN); BL-191; EHT-0201; EHT-201; Flexital (TN); Pentox (TN); Pentoxifilina [INN-Spanish]; Pentoxifyllinum [INN-Latin]; Pentoxil (TN); Pentoxin (TN); Trental (TN); Cis-9-Octadecenoyl coenzyme A; Pentoxifylline [USAN:INN:JAN]; Pentoxifylline (JAN/USP/INN); 1,2,3,6-Tetrahydro-3,7-dimethyl-1-(5-oxohexyl)-2,6-purindion; 1-(5-Oxohexyl)-3,7-dimethylxanthine; 1-(5-Oxohexyl)theobromine; 3,7-Dihydro-3,7-dimethyl-1-(5-oxohexyl)-1H-purine-2,6-dione; 3,7-Dimethyl-1-(5-oxo-hexyl)-3,7-dihydro-purine-2,6-dione; 3,7-Dimethyl-1-(5-oxohexyl) xantine; 3,7-Dimethyl-1-(5-oxohexyl)-1H,3H-purin-2,6-dione; 3,7-Dimethyl-1-(5-oxohexyl)-3,7-dihydro-1H-purine-2,6-dione; 3,7-Dimethyl-1-(5-oxohexyl)xanthine; 3,7-Dimethyl-1-(5-oxohexyl)xantine; 3,7-dimethyl-1-(5-oxohexyl)purine-2,6-dione	Intermittent claudication	440.21	I73.9
213	D0H6TP	Monobenzone; Agerite; Alba; Benoquin; Benzoquin; Carmifal; Depigman; Dermochinona; Leucodinine; Monobenzon; Monobenzona; Monobenzonum; PBP; Pigmex; Superlite; Agerite alba; Benzyl hydroquinone; Hydrochinon monobenzylether; Hydrochinon monobenzylether [Czech]; Hydroquinone benzyl ether; Hydroquinone monobenzyl ether; ICN brand of monobenzone; Monobenzone [INN]; Monobenzyl Ether of Hydroquinone; Monobenzyl ether hydroquinone; Monobenzyl hydroquinone; Alba-Dome; Benoquin (TN); Benoquin, Monobenzone; Benzyl p-hydroxyphenyl ether; Carmifal(TN); Depigman (TN); Dermochinona (TN); HYDROQUINONE MONOBENZYL ETHER, N F; Leucodinine (TN); Monobenzon (TN); Monobenzona [INN-Spanish]; Monobenzonum [INN-Latin]; Novo-depigman; P-BENZYLOXYPHENOL; P-Hydroxyphenyl benzyl ether; Pigmex (TN); Superlite (TN); Superlite (antioxidant); Monobenzone (USP/INN); P-(BENZYLOXY)PHENOL; 4-(Benzyl-Oxy)Phenol; 4-(Benzyloxy)phenol; 4-(Benzyloxyl)phenol; 4-(Phenylmethoxy)phenol; 4-Benzyloxyphenol; 4-benzyloxy phenol; 4-phenylmethoxy-phenol; 4-phenylmethoxyphenol	Vitiligo	709.01	L80
214	D0BN9X	Tirofiban; AGG; Aggrastat; Agrastat; Tirofibanum; Aggrastat (TN); Agrastat (TN); L-700462; MK-383; Tirofiban (INN); Tirofiban[BAN:INN]; Tirofiban [INN:BAN]; L-700,462; N-(BUTYLSULFONYL)-O-[4-(4-PIPERIDINYL)BUTYL]-L-TYROSINE; N-(Butylsulfonyl)-O-(4-(4-piperidyl)butyl)-L-tyrosine; N-(butylsulfonyl)-O-(4-piperidin-4-ylbutyl)-L-tyrosine; N-(butylsulfonyl)-o-[4-(piperidin-4-yl)butyl]-l-tyrosine; (2S)-2-(butylsulfonylamino)-3-[4-(4-piperidin-4-ylbutoxy)phenyl]propanoic acid	Acute coronary syndrome	444	I74
215	D0F9GE	Dipyridamole; Agilease; Anginal; Antistenocardin; Apricor; Cardioflux; Cardoxil; Cardoxin; Cerebrovase; Chilcolan; Cleridium; Coribon; Coridil; Coronarine; Corosan; Coroxin; Curantil; Curantyl; Dipiridamol; Dipyramidole; Dipyridamine; Dipyridamol; Dipyridamolum; Dipyridan; Dipyudamine; Dypyridamol; Gulliostin; Justpertin; Kurantil; Miosen; Natyl; Peridamol; Permiltin; Persantin; Persantine; Piroan; Prandiol; Protangix; Stenocardil; Stenocardiol; Stimolcardio; Apotex Brand of Dipyridamole; Ashbourne Brand of Dipyridamole; Belmac Brand of Dipyridamole; Berlin Chemie Brand of Dipyridamole; Boehringer Ingelheim Brand of Dipyridamole; IPRAD Brand of Dipyridamole; Iv Persantine; Novopharm Brand of Dipyridamole; Cleridium 150; D 9766; Prandiol 75; Apo-Dipyridamole; Apo-Dipyridamole Fc; Apo-Dipyridamole Sc; Berlin-Chemie Brand of Dipyridamole; Dipiridamol [INN-Spanish]; Dipyridamolum [INN-Latin]; Novo-Dipiradol; Persantine (TN); RA-8; Usaf Ge-12; Dipyridamole (JP15/USP/INN); Dipyridamole [USAN:INN:BAN:JAN]; Permole, Persantine, Dipyridan, Dipyridamole; 2,6-Bis(diethanolamine)-4,8-dipiperidinopyrimido[5,4-d]pyrimidine; 2,6-Bis(diethanolamino)-4,8-dipiperidinopyrimido(5,4-d)pyrimidine; 2,6-Bis(diethanolamino)-4,8-dipiperidinopyrimido[5,4-d]pyrimidine	Hypertension	401	I10-I16
216	D0X0WU	Tolperisone; Agileo; Viveo; AV-650; SPH-3047; Tolperisone (controlled-release); Tolperisone (controlled-release), Sanochemia; Tolperisone (controlled-release), Sanochemia/Avigen	Muscle spasm		M62.838
217	D0SP3D	Dihydroergotoxine; Agit; Angionorm; Dehydroergotamine; Dergotamine; Diergo; Dihidroergotamina; Dihydergot; Dihydroergotamine; Dihydroergotaminum; Dihydroergotoxin; Diidroergotamina; Dirgotarl; Endophleban; Ergomimet; Ergont; Ergotonin; Ikaran; Migranal; Morena; Neomigran; Orstanorm; Seglor; Tonopres; Verladyn; DET MS; Dihydroergotamine methanesulfonate; Diidroergotamina [DCIT]; Ergoloid dihydroergotoxine; Co-Dergocrine; DHE-45; Dihidroergotamina [INN-Spanish]; Dihydroergotamine (INN); Dihydroergotaminum [INN-Latin]; Ergoloid Mesylates (dihydroergotoxine); Ergot Alkaloids, Hydrogenated; Neomigran (TN); Ergotamine, dihydro, methanesulfonate (salt); (10alphaH)-5'alpha-benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxo-9,10-dihydroergotaman; (5'alpha)-12'-Hydroxy-2'-methyl-5'-(phenylmethyl)ergotoman-3',6',18-trione; (5'alpha)-5'-benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxoergotaman; 5'-Benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxo-9,10-dihydroergotaman; 9,10-Dihydro-12'-hydroxy-2'-methyl-5'-(phenylmethyl)ergotoman-3',6',18-trione; 9,10-Dihydroergotamine; 9,10-dihydro-ergotamine	Alzheimer disease	331	G30
218	D0V3ZA	Dihydroergotamine; Agit; Angionorm; DIHYDROERGOTOXINE; Dehydroergotamine; Dergotamine; Diergo; Dihidroergotamina; Dihydergot; Dihydroergotaminum; Dihydroergotoxin; Diidroergotamina; Dirgotarl; Endophleban; Ergomimet; Ergont; Ergotonin; Ikaran; Migranal; Morena; Neomigran; Orstanorm; Seglor; Tonopres; Verladyn; DET MS; Dihydroergotamine methanesulfonate; Diidroergotamina [DCIT]; Ergoloid dihydroergotoxine; Co-Dergocrine; DHE-45; Dihidroergotamina [INN-Spanish]; Dihydroergotamine (INN); Dihydroergotaminum [INN-Latin]; ErgoloidMesylates (dihydroergotoxine); Ergot Alkaloids, Hydrogenated; Migranal (TN); Neomigran (TN); (10alphaH)-5'alpha-benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxo-9,10-dihydroergotaman; (5'alpha)-12'-Hydroxy-2'-methyl-5'-(phenylmethyl)ergotoman-3',6',18-trione; (5'alpha)-5'-benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxoergotaman; 5'-Benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxo-9,10-dihydroergotaman; 9,10-Dihydro-12'-hydroxy-2'-methyl-5'-(phenylmethyl)ergotoman-3',6',18-trione; 9,10-Dihydroergotamine; 9,10-dihydro-ergotamine	Migraine headaches	346	G43
